#num,year,month,date,time[second],SeaIceExtent[km2]
701,1982,10,25,125625600,17663814
702,1982,10,27,125798400,17562894
703,1982,10,29,125971200,17436294
704,1982,10,31,126144000,17352606
705,1982,11,02,126316800,17194706
706,1982,11,04,126489600,17040435
707,1982,11,06,126662400,16893929
708,1982,11,08,126835200,16721545
709,1982,11,10,127008000,16670714
710,1982,11,12,127180800,16513766
711,1982,11,14,127353600,16298707
712,1982,11,16,127526400,16053258
713,1982,11,18,127699200,15766052
714,1982,11,20,127872000,15450322
715,1982,11,22,128044800,15076889
716,1982,11,24,128217600,14728620
717,1982,11,26,128390400,14228173
718,1982,11,28,128563200,13795356
719,1982,11,30,128736000,13156917
720,1982,12,02,128908800,12559077
721,1982,12,04,129081600,12023702
722,1982,12,06,129254400,11509010
723,1982,12,08,129427200,11037536
724,1982,12,10,129600000,10639127
725,1982,12,12,129772800,10161471
726,1982,12,14,129945600,9705058
727,1982,12,16,130118400,9204891
728,1982,12,18,130291200,8793053
729,1982,12,20,130464000,8318054
730,1982,12,22,130636800,7875699
731,1982,12,24,130809600,7582278
732,1982,12,26,130982400,7272307
733,1982,12,28,131155200,6974151
734,1982,12,30,131328000,6734681
735,1983,01,01,131500800,6510515
736,1983,01,03,131673600,6174902
737,1983,01,05,131846400,5867749
738,1983,01,07,132019200,5646887
739,1983,01,09,132192000,5384678
740,1983,01,11,132364800,5084910
741,1983,01,13,132537600,4845616
742,1983,01,15,132710400,4632944
743,1983,01,17,132883200,4424971
744,1983,01,19,133056000,4326017
745,1983,01,21,133228800,4187663
746,1983,01,23,133401600,4051756
747,1983,01,25,133574400,3932303
748,1983,01,27,133747200,3840171
749,1983,01,29,133920000,3745018
750,1983,01,31,134092800,3689843
751,1983,02,02,134265600,3588083
752,1983,02,04,134438400,3488634
753,1983,02,06,134611200,3386678
754,1983,02,08,134784000,3276581
755,1983,02,10,134956800,3167055
756,1983,02,12,135129600,3083985
757,1983,02,14,135302400,3016640
758,1983,02,16,135475200,2954138
759,1983,02,18,135648000,2925384
760,1983,02,20,135820800,2905104
761,1983,02,22,135993600,2927449
762,1983,02,24,136166400,2932928
763,1983,02,26,136339200,2936493
764,1983,02,28,136512000,3013541
765,1983,03,02,136684800,3195456
766,1983,03,04,136857600,3326867
767,1983,03,06,137030400,3473854
768,1983,03,08,137203200,3534426
769,1983,03,10,137376000,3571743
770,1983,03,12,137548800,3715976
771,1983,03,14,137721600,3848580
772,1983,03,16,137894400,4005456
773,1983,03,18,138067200,4177105
774,1983,03,20,138240000,4390651
775,1983,03,22,138412800,4545460
776,1983,03,24,138585600,4728583
777,1983,03,26,138758400,4899077
778,1983,03,28,138927600,5053976
779,1983,03,30,139100400,5182483
780,1983,04,01,139273200,5336044
781,1983,04,03,139446000,5534665
782,1983,04,05,139618800,5723280
783,1983,04,07,139791600,5912762
784,1983,04,09,139964400,6111411
785,1983,04,11,140137200,6376511
786,1983,04,13,140310000,6472335
787,1983,04,15,140482800,6657381
788,1983,04,17,140655600,6833780
789,1983,04,19,140828400,6981332
790,1983,04,21,141001200,7135161
791,1983,04,23,141174000,7337186
792,1983,04,25,141346800,7552763
793,1983,04,27,141519600,7811852
794,1983,04,29,141692400,8026645
795,1983,05,01,141865200,8289358
796,1983,05,03,142038000,8502083
797,1983,05,05,142210800,8593101
798,1983,05,07,142383600,8830031
799,1983,05,09,142556400,9047042
800,1983,05,11,142729200,9257890
801,1983,05,13,142902000,9447251
